eBird_Clements_v2022,eBird_Clements_v2021,BirdLife_v3,BirdLife_v7,IOC_v13.1
Drymocichla incana,Drymocichla incana,Drymocichla incana,Drymocichla incana,Drymocichla incana
Urolais epichlorus,Urolais epichlorus,Urolais epichlorus,Urolais epichlorus,Urolais epichlorus
Spiloptila clamans,Spiloptila clamans,Spiloptila clamans,Spiloptila clamans,Spiloptila clamans
Prinia rufifrons,Prinia rufifrons,Spiloptila rufifrons,Prinia rufifrons,Prinia rufifrons
Phyllolais pulchella,Phyllolais pulchella,Phyllolais pulchella,Phyllolais pulchella,Phyllolais pulchella
Oreolais pulcher,Oreolais pulcher,Oreolais pulchra,Oreolais pulcher,Oreolais pulcher
Oreolais ruwenzorii,Oreolais ruwenzorii,Oreolais ruwenzorii,Oreolais ruwenzorii,Oreolais ruwenzorii
Apalis thoracica,Apalis thoracica,Apalis thoracica,Apalis thoracica,Apalis thoracica
Apalis nigriceps,Apalis nigriceps,Apalis nigriceps,Apalis nigriceps,Apalis nigriceps
Apalis jacksoni,Apalis jacksoni,Apalis jacksoni,Apalis jacksoni,Apalis jacksoni
Apalis chariessa,Apalis chariessa,Apalis chariessa,Apalis chariessa,Apalis chariessa
Apalis binotata,Apalis binotata,Apalis binotata,Apalis binotata,Apalis binotata
Apalis personata,Apalis personata,Apalis personata,Apalis personata,Apalis personata
Apalis flavida,Apalis flavida,Apalis flavida,Apalis flavida,Apalis flavida
Apalis ruddi,Apalis ruddi,Apalis ruddi,Apalis ruddi,Apalis ruddi
Apalis sharpii,Apalis sharpii,Apalis sharpii,Apalis sharpii,Apalis sharpii
Apalis rufogularis,Apalis rufogularis,Apalis rufogularis,Apalis rufogularis,Apalis rufogularis
Apalis bamendae,Apalis bamendae,Apalis bamendae,Apalis bamendae,Apalis bamendae
Apalis goslingi,Apalis goslingi,Apalis goslingi,Apalis goslingi,Apalis goslingi
Apalis porphyrolaema,Apalis porphyrolaema,Apalis porphyrolaema,Apalis porphyrolaema,Apalis porphyrolaema
Apalis chapini,Apalis chapini,Apalis chapini,Apalis chapini,Apalis chapini
Apalis melanocephala,Apalis melanocephala,Apalis melanocephala,Apalis melanocephala,Apalis melanocephala
Apalis chirindensis,Apalis chirindensis,Apalis chirindensis,Apalis chirindensis,Apalis chirindensis
Artisornis moreaui,Artisornis moreaui,Artisornis moreaui,Artisornis moreaui,Artisornis moreaui
Apalis cinerea,Apalis cinerea,Apalis cinerea,Apalis cinerea,Apalis cinerea
Apalis alticola,Apalis alticola,Apalis alticola,Apalis alticola,Apalis alticola
Apalis karamojae,Apalis karamojae,Apalis karamojae,Apalis karamojae,Apalis karamojae
Hypergerus atriceps,Hypergerus atriceps,Hypergerus atriceps,Hypergerus atriceps,Hypergerus atriceps
Eminia lepida,Eminia lepida,Eminia lepida,Eminia lepida,Eminia lepida
Camaroptera brachyura,Camaroptera brachyura,Camaroptera brachyura,Camaroptera brachyura,Camaroptera brachyura
Camaroptera superciliaris,Camaroptera superciliaris,Camaroptera superciliaris,Camaroptera superciliaris,Camaroptera superciliaris
Camaroptera chloronota,Camaroptera chloronota,Camaroptera chloronota,Camaroptera chloronota,Camaroptera chloronota
Calamonastes undosus,Calamonastes undosus,Camaroptera simplex,Calamonastes undosus,Calamonastes undosus
Calamonastes undosus,Calamonastes undosus,Camaroptera undosa,Calamonastes undosus,Calamonastes undosus
Calamonastes fasciolatus,Calamonastes fasciolatus,Camaroptera fasciolata,Calamonastes fasciolatus,Calamonastes fasciolatus
Poliolais lopezi,Poliolais lopezi,Poliolais lopezi,Poliolais lopezi,Poliolais lopezi
Graueria vittata,Graueria vittata,Graueria vittata,Graueria vittata,Graueria vittata
Euryptila subcinnamomea,Euryptila subcinnamomea,Euryptila subcinnamomea,Euryptila subcinnamomea,Euryptila subcinnamomea
Zosterops melanocephalus,Zosterops melanocephalus,Speirops melanocephalus,Zosterops melanocephalus,Zosterops melanocephalus
Zosterops melanocephalus,Zosterops melanocephalus,Speirops lugubris,Zosterops melanocephalus,Zosterops melanocephalus
Zosterops brunneus,Zosterops brunneus,Speirops brunneus,Zosterops brunneus,Zosterops brunneus
Zosterops leucophaeus,Zosterops leucophaeus,Speirops leucophoeus,Zosterops leucophaeus,Zosterops leucophaeus
Zosterops senegalensis,Zosterops senegalensis,Zosterops senegalensis,Zosterops senegalensis,Zosterops senegalensis
Zosterops vaughani,Zosterops vaughani,Zosterops vaughani,Zosterops vaughani,Zosterops vaughani
Zosterops mayottensis,Zosterops mayottensis,Zosterops mayottensis,Zosterops mayottensis,Zosterops mayottensis
Zosterops poliogastrus,Zosterops poliogastrus,Zosterops poliogastrus,Zosterops poliogastrus,Zosterops poliogastrus
Zosterops abyssinicus,Zosterops abyssinicus,Zosterops abyssinicus,Zosterops abyssinicus,Zosterops abyssinicus
Zosterops pallidus,Zosterops pallidus,Zosterops pallidus,Zosterops pallidus,Zosterops pallidus
Zosterops maderaspatanus,Zosterops maderaspatanus,Zosterops maderaspatanus,Zosterops maderaspatanus,Zosterops maderaspatanus
Zosterops mouroniensis,Zosterops mouroniensis,Zosterops mouroniensis,Zosterops mouroniensis,Zosterops mouroniensis
Zosterops ficedulinus,Zosterops ficedulinus,Zosterops ficedulinus,Zosterops ficedulinus,Zosterops ficedulinus
Zosterops griseovirescens,Zosterops griseovirescens,Zosterops griseovirescens,Zosterops griseovirescens,Zosterops griseovirescens
Zosterops borbonicus,Zosterops borbonicus,Zosterops borbonicus,Zosterops borbonicus,Zosterops borbonicus
Zosterops olivaceus,Zosterops olivaceus,Zosterops olivaceus,Zosterops olivaceus,Zosterops olivaceus
Zosterops chloronothos,Zosterops chloronothos,Zosterops chloronothus,Zosterops chloronothos,Zosterops chloronothos
Zosterops modestus,Zosterops modestus,Zosterops modestus,Zosterops modestus,Zosterops modestus
Zosterops ceylonensis,Zosterops ceylonensis,Zosterops ceylonensis,Zosterops ceylonensis,Zosterops ceylonensis
Zosterops erythropleurus,Zosterops erythropleurus,Zosterops erythropleurus,Zosterops erythropleurus,Zosterops erythropleurus
Zosterops palpebrosus,Zosterops palpebrosus,Zosterops palpebrosus,Zosterops palpebrosus,Zosterops palpebrosus
Zosterops japonicus,Zosterops japonicus,Zosterops japonicus,Zosterops japonicus,Zosterops japonicus
Zosterops meyeni,Zosterops meyeni,Zosterops meyeni,Zosterops meyeni,Zosterops meyeni
Zosterops simplex,Zosterops simplex,Zosterops salvadorii,Zosterops simplex,Zosterops simplex
Zosterops conspicillatus,Zosterops conspicillatus,Zosterops conspicillatus,Zosterops conspicillatus,Zosterops conspicillatus
Zosterops rotensis,Zosterops rotensis,Zosterops rotensis,Zosterops rotensis,Zosterops rotensis
Zosterops hypolais,Zosterops hypolais,Zosterops hypolais,Zosterops hypolais,Zosterops hypolais
Zosterops semperi,Zosterops semperi,Zosterops semperi,Zosterops semperi,Zosterops semperi
Zosterops atricapilla,Zosterops atricapilla,Zosterops atricapilla,Zosterops atricapilla,Zosterops atricapilla
Zosterops everetti,Zosterops everetti,Zosterops everetti,Zosterops everetti,Zosterops everetti
Zosterops nigrorum,Zosterops nigrorum,Zosterops nigrorum,Zosterops nigrorum,Zosterops nigrorum
Zosterops japonicus,Zosterops japonicus,Zosterops montanus,Zosterops japonicus,Zosterops japonicus
Zosterops natalis,Zosterops natalis,Zosterops natalis,Zosterops natalis,Zosterops natalis
Zosterops flavus,Zosterops flavus,Zosterops flavus,Zosterops flavus,Zosterops flavus
Zosterops chloris,Zosterops chloris,Zosterops chloris,Zosterops chloris,Zosterops chloris
Zosterops citrinella,Zosterops citrinella,Zosterops citrinella,Zosterops citrinella,Zosterops citrinella
Zosterops grayi,Zosterops grayi,Zosterops grayi,Zosterops grayi,Zosterops grayi
Zosterops uropygialis,Zosterops uropygialis,Zosterops uropygialis,Zosterops uropygialis,Zosterops uropygialis
Zosterops consobrinorum,Zosterops consobrinorum,Zosterops consobrinorum,Zosterops consobrinorum,Zosterops consobrinorum
Zosterops anomalus,Zosterops anomalus,Zosterops anomalus,Zosterops anomalus,Zosterops anomalus
Heleia wallacei,Heleia wallacei,Zosterops wallacei,Heleia wallacei,Heleia wallacei
Zosterops atrifrons,Zosterops atrifrons,Zosterops atrifrons,Zosterops atrifrons,Zosterops atrifrons
Zosterops atriceps,Zosterops atriceps,Zosterops atriceps,Zosterops atriceps,Zosterops atriceps
Zosterops minor,Zosterops minor,Zosterops minor,Zosterops minor,Zosterops minor
Zosterops meeki,Zosterops meeki,Zosterops meeki,Zosterops meeki,Zosterops meeki
Zosterops hypoxanthus,Zosterops hypoxanthus,Zosterops hypoxanthus,Zosterops hypoxanthus,Zosterops hypoxanthus
Zosterops mysorensis,Zosterops mysorensis,Zosterops mysorensis,Zosterops mysorensis,Zosterops mysorensis
Zosterops fuscicapilla,Zosterops fuscicapilla,Zosterops fuscicapilla,Zosterops fuscicapilla,Zosterops fuscicapilla
Zosterops buruensis,Zosterops buruensis,Zosterops buruensis,Zosterops buruensis,Zosterops buruensis
Zosterops kuehni,Zosterops kuehni,Zosterops kuehni,Zosterops kuehni,Zosterops kuehni
Zosterops novaeguineae,Zosterops novaeguineae,Zosterops novaeguineae,Zosterops novaeguineae,Zosterops novaeguineae
Zosterops luteus,Zosterops luteus,Zosterops luteus,Zosterops luteus,Zosterops luteus
Zosterops griseotinctus,Zosterops griseotinctus,Zosterops griseotinctus,Zosterops griseotinctus,Zosterops griseotinctus
Zosterops rennellianus,Zosterops rennellianus,Zosterops rennellianus,Zosterops rennellianus,Zosterops rennellianus
Zosterops vellalavella,Zosterops vellalavella,Zosterops vellalavella,Zosterops vellalavella,Zosterops vellalavella
Zosterops splendidus,Zosterops splendidus,Zosterops splendidus,Zosterops splendidus,Zosterops splendidus
Zosterops luteirostris,Zosterops luteirostris,Zosterops luteirostris,Zosterops luteirostris,Zosterops luteirostris
Zosterops kulambangrae,Zosterops kulambangrae,Zosterops kulambangrae,Zosterops kulambangrae,Zosterops kulambangrae
Zosterops murphyi,Zosterops murphyi,Zosterops murphyi,Zosterops murphyi,Zosterops murphyi
Zosterops metcalfii,Zosterops metcalfii,Zosterops metcalfii,Zosterops metcalfii,Zosterops metcalfii
Zosterops rendovae,Zosterops rendovae,Zosterops rendovae,Zosterops rendovae,Zosterops rendovae
Zosterops stresemanni,Zosterops stresemanni,Zosterops stresemanni,Zosterops stresemanni,Zosterops stresemanni
Zosterops sanctaecrucis,Zosterops sanctaecrucis,Zosterops sanctaecrucis,Zosterops sanctaecrucis,Zosterops sanctaecrucis
Zosterops lateralis,Zosterops lateralis,Zosterops lateralis,Zosterops lateralis,Zosterops lateralis
Zosterops tenuirostris,Zosterops tenuirostris,Zosterops tenuirostris,Zosterops tenuirostris,Zosterops tenuirostris
Zosterops albogularis,Zosterops albogularis,Zosterops albogularis,Zosterops albogularis,Zosterops albogularis
Zosterops inornatus,Zosterops inornatus,Zosterops inornatus,Zosterops inornatus,Zosterops inornatus
Zosterops explorator,Zosterops explorator,Zosterops explorator,Zosterops explorator,Zosterops explorator
Zosterops flavifrons,Zosterops flavifrons,Zosterops flavifrons,Zosterops flavifrons,Zosterops flavifrons
Zosterops xanthochroa,Zosterops xanthochroa,Zosterops xanthochroa,Zosterops xanthochroa,Zosterops xanthochroa
Zosterops minutus,Zosterops minutus,Zosterops minutus,Zosterops minutus,Zosterops minutus
Zosterops samoensis,Zosterops samoensis,Zosterops samoensis,Zosterops samoensis,Zosterops samoensis
Zosterops finschii,Zosterops finschii,Zosterops finschii,Zosterops finschii,Zosterops finschii
Zosterops cinereus,Zosterops cinereus,Zosterops cinereus,Zosterops cinereus,Zosterops cinereus
Zosterops oleagineus,Zosterops oleagineus,Zosterops oleagineus,Zosterops oleagineus,Zosterops oleagineus
Rukia longirostra,Rukia longirostra,Rukia longirostra,Rukia longirostra,Rukia longirostra
Rukia ruki,Rukia ruki,Rukia ruki,Rukia ruki,Rukia ruki
Cleptornis marchei,Cleptornis marchei,Cleptornis marchei,Cleptornis marchei,Cleptornis marchei
Tephrozosterops stalkeri,Tephrozosterops stalkeri,Tephrozosterops stalkeri,Tephrozosterops stalkeri,Tephrozosterops stalkeri
Anthus ruficollis,Madanga ruficollis,Madanga ruficollis,NA,NA
Heleia javanica,Heleia javanica,Lophozosterops javanicus,Heleia javanica,Heleia javanica
Heleia squamiceps,Heleia squamiceps,Lophozosterops squamiceps,Heleia squamiceps,Heleia squamiceps
Heleia goodfellowi,Heleia goodfellowi,Lophozosterops goodfellowi,Heleia goodfellowi,Heleia goodfellowi
Heleia superciliaris,Heleia superciliaris,Lophozosterops superciliaris,Heleia superciliaris,Heleia superciliaris
Heleia pinaiae,Heleia pinaiae,Lophozosterops pinaiae,Heleia pinaiae,Heleia pinaiae
Heleia squamifrons,Heleia squamifrons,Oculocincta squamifrons,Heleia squamifrons,Heleia squamifrons
Heleia crassirostris,Heleia crassirostris,Heleia crassirostris,Heleia crassirostris,Heleia crassirostris
Heleia muelleri,Heleia muelleri,Heleia muelleri,Heleia muelleri,Heleia muelleri
Zosterops emiliae,Zosterops emiliae,Chlorocharis emiliae,Zosterops emiliae,Zosterops emiliae
Zosterops superciliosus,Zosterops superciliosus,Woodfordia superciliosa,Zosterops superciliosus,Zosterops superciliosus
Zosterops lacertosus,Zosterops lacertosus,Woodfordia lacertosa,Zosterops lacertosus,Zosterops lacertosus
Megazosterops palauensis,Megazosterops palauensis,Megazosterops palauensis,Megazosterops palauensis,Megazosterops palauensis
Hypocryptadius cinnamomeus,Hypocryptadius cinnamomeus,Hypocryptadius cinnamomeus,Hypocryptadius cinnamomeus,Hypocryptadius cinnamomeus
Cettia castaneocoronata,Cettia castaneocoronata,Tesia castaneocoronata,Cettia castaneocoronata,Cettia castaneocoronata
Tesia olivea,Tesia olivea,Tesia olivea,Tesia olivea,Tesia olivea
Tesia cyaniventer,Tesia cyaniventer,Tesia cyaniventer,Tesia cyaniventer,Tesia cyaniventer
Tesia superciliaris,Tesia superciliaris,Tesia superciliaris,Tesia superciliaris,Tesia superciliaris
Tesia everetti,Tesia everetti,Tesia everetti,Tesia everetti,Tesia everetti
Urosphena subulata,Urosphena subulata,Urosphena subulata,Urosphena subulata,Urosphena subulata
Urosphena whiteheadi,Urosphena whiteheadi,Urosphena whiteheadi,Urosphena whiteheadi,Urosphena whiteheadi
Urosphena squameiceps,Urosphena squameiceps,Urosphena squameiceps,Urosphena squameiceps,Urosphena squameiceps
Urosphena pallidipes,Urosphena pallidipes,Cettia pallidipes,Hemitesia pallidipes,Hemitesia pallidipes
Horornis diphone,Horornis diphone,Cettia canturians,Horornis diphone,Horornis diphone
Horornis diphone,Horornis diphone,Cettia diphone,Horornis diphone,Horornis diphone
Horornis seebohmi,Horornis seebohmi,Cettia seebohmi,Horornis seebohmi,Horornis seebohmi
Horornis annae,Horornis annae,Cettia annae,Horornis annae,Horornis annae
Horornis parens,Horornis parens,Cettia parens,Horornis parens,Horornis parens
Horornis ruficapilla,Horornis ruficapilla,Cettia ruficapilla,Horornis ruficapilla,Horornis ruficapilla
Horornis fortipes,Horornis fortipes,Cettia fortipes,Horornis fortipes,Horornis fortipes
Horornis flavolivaceus,Horornis vulcanius,Cettia vulcania,NA,NA
Horornis carolinae,Horornis carolinae,Cettia carolinae,Horornis carolinae,Horornis carolinae
Cettia major,Cettia major,Cettia major,Cettia major,Cettia major
Phylloscopus subaffinis,Phylloscopus subaffinis,Cettia flavolivacea,Phylloscopus subaffinis,Phylloscopus subaffinis
Horornis fortipes,Horornis fortipes,Cettia acanthizoides,Horornis fortipes,Horornis fortipes
Cettia brunnifrons,Cettia brunnifrons,Cettia brunnifrons,Cettia brunnifrons,Cettia brunnifrons
Cettia cetti,Cettia cetti,Cettia cetti,Cettia cetti,Cettia cetti
Bradypterus baboecala,Bradypterus baboecala,Bradypterus baboecala,Bradypterus baboecala,Bradypterus baboecala
Bradypterus grandis,Bradypterus grandis,Bradypterus grandis,Bradypterus grandis,Bradypterus grandis
Bradypterus carpalis,Bradypterus carpalis,Bradypterus carpalis,Bradypterus carpalis,Bradypterus carpalis
Bradypterus graueri,Bradypterus graueri,Bradypterus graueri,Bradypterus graueri,Bradypterus graueri
Locustella alfredi,Locustella alfredi,Bradypterus alfredi,Locustella alfredi,Locustella alfredi
Bradypterus sylvaticus,Bradypterus sylvaticus,Bradypterus sylvaticus,Bradypterus sylvaticus,Bradypterus sylvaticus
Bradypterus lopezi,Bradypterus lopezi,Bradypterus lopezi,Bradypterus lopezi,Bradypterus lopezi
Bradypterus barratti,Bradypterus barratti,Bradypterus barratti,Bradypterus barratti,Bradypterus barratti
Bradypterus cinnamomeus,Bradypterus cinnamomeus,Bradypterus cinnamomeus,Bradypterus cinnamomeus,Bradypterus cinnamomeus
Cryptillas victorini,Cryptillas victorini,Bradypterus victorini,Cryptillas victorini,Cryptillas victorini
Locustella davidi,Locustella davidi,Bradypterus thoracicus,Locustella davidi,Locustella davidi
Locustella major,Locustella major,Bradypterus major,Locustella major,Locustella major
Locustella tacsanowskia,Locustella tacsanowskia,Bradypterus tacsanowskius,Locustella tacsanowskia,Locustella tacsanowskia
Locustella luteoventris,Locustella luteoventris,Bradypterus luteoventris,Locustella luteoventris,Locustella luteoventris
Bradypterus seebohmi,Bradypterus seebohmi,Bradypterus seebohmi,Bradypterus seebohmi,Bradypterus seebohmi
Elaphrornis palliseri,Elaphrornis palliseri,Bradypterus palliseri,Elaphrornis palliseri,Elaphrornis palliseri
Locustella caudata,Locustella caudata,Bradypterus caudatus,Locustella caudata,Locustella caudata
Locustella accentor,Locustella accentor,Bradypterus accentor,Locustella accentor,Locustella accentor
Bradypterus bangwaensis,Bradypterus bangwaensis,Bradypterus castaneus,Bradypterus bangwaensis,Bradypterus bangwaensis
Locustella seebohmi,Locustella seebohmi,Amphilais seebohmi,Locustella seebohmi,Locustella seebohmi
Bathmocercus cerviniventris,Bathmocercus cerviniventris,Bathmocercus cerviniventris,Bathmocercus cerviniventris,Bathmocercus cerviniventris
Bathmocercus rufus,Bathmocercus rufus,Bathmocercus rufus,Bathmocercus rufus,Bathmocercus rufus
Scepomycter winifredae,Scepomycter winifredae,Bathmocercus winifredae,Scepomycter winifredae,Scepomycter winifredae
Nesillas typica,Nesillas longicaudata,Nesillas longicaudata,NA,NA
Nesillas typica,Nesillas typica,Nesillas typica,Nesillas typica,Nesillas typica
Nesillas brevicaudata,Nesillas brevicaudata,Nesillas brevicaudata,Nesillas brevicaudata,Nesillas brevicaudata
Nesillas mariae,Nesillas mariae,Nesillas mariae,Nesillas mariae,Nesillas mariae
Thamnornis chloropetoides,Thamnornis chloropetoides,Thamnornis chloropetoides,Thamnornis chloropetoides,Thamnornis chloropetoides
Melocichla mentalis,Melocichla mentalis,Melocichla mentalis,Melocichla mentalis,Melocichla mentalis
Achaetops pycnopygius,Achaetops pycnopygius,Achaetops pycnopygius,Achaetops pycnopygius,Achaetops pycnopygius
Sphenoeacus afer,Sphenoeacus afer,Sphenoeacus afer,Sphenoeacus afer,Sphenoeacus afer
Locustella lanceolata,Locustella lanceolata,Locustella lanceolata,Locustella lanceolata,Locustella lanceolata
Locustella naevia,Locustella naevia,Locustella naevia,Locustella naevia,Locustella naevia
Helopsaltes certhiola,Helopsaltes certhiola,Locustella certhiola,Helopsaltes certhiola,Helopsaltes certhiola
Helopsaltes ochotensis,Helopsaltes ochotensis,Locustella ochotensis,Helopsaltes ochotensis,Helopsaltes ochotensis
Helopsaltes pleskei,Helopsaltes pleskei,Locustella pleskei,Helopsaltes pleskei,Helopsaltes pleskei
